Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
sp|P78386|KRT85_HUMAN	sp|P78386|KRT85_HUMAN	8	2	2.84	6.3823E6	0E0	0E0	1.2696E5	1.6306E4	0E0	1.3165E6	6.0406E4	9.2813E5	1.0972E5	5.8398E5	6.8194E5	2.2916E6	2.6669E5				11503
MGYG000002321_02662	MGYG000002321_02662	10	1	2.83	1.4382E7	0E0	0E0	9.778E6	2.2348E6	0E0	0E0	0E0	2.3696E6	0E0	0E0	0E0	0E0	0E0				11504
MGYG000002478_00819	MGYG000002478_00819	2	2	2.83	4.9724E6	7.2478E5	3.8383E5	2.9903E5	1.0636E6	0E0	0E0	1.6688E5	7.416E5	4.7394E5	1.0202E5	0E0	6.5204E5	3.6471E5				11505
MGYG000000193_01597	MGYG000000193_01597	3	3	2.83	1.6605E6	0E0	1.1569E5	0E0	4.6622E4	6.4395E5	0E0	1.4965E4	6.6604E5	0E0	1.7327E5	0E0	0E0	0E0				11506
MGYG000000008_00251	MGYG000000008_00251	1	1	2.83	5.6278E6	0E0	0E0	0E0	0E0	1.0403E6	5.5987E5	0E0	0E0	0E0	0E0	0E0	0E0	4.0276E6				11507
MGYG000000144_00441	MGYG000000144_00441	4	3	2.83	2.6379E7	0E0	2.8759E6	3.4441E5	2.3029E6	0E0	2.3348E6	4.7725E5	4.6875E6	3.6629E6	9.693E6	0E0	0E0	0E0				11508
MGYG000002272_01748	MGYG000002272_01748	4	3	2.83	1.9959E6	0E0	6.0619E5	1.0936E6	2.3762E5	0E0	0E0	5.8431E4	0E0	0E0	0E0	0E0	0E0	0E0				11509
MGYG000000185_02227	MGYG000000185_02227	5	1	2.83	1.1408E6	0E0	1.9897E5	0E0	0E0	0E0	9.4187E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11510
MGYG000002469_00570	MGYG000002469_00570	3	3	2.83	2.6835E6	0E0	8.9252E4	6.9275E4	8.2215E4	4.0029E5	2.208E5	1.6601E4	2.7423E5	3.6048E5	1.2061E5	3.5834E5	6.9143E5	0E0				11511
MGYG000002129_00318	MGYG000002129_00318	4	1	2.83	1.6593E6	0E0	1.1426E5	0E0	0E0	0E0	0E0	0E0	7.3777E5	0E0	0E0	8.0968E4	0E0	7.2635E5				11512
MGYG000000250_01111	MGYG000000250_01111	6	2	2.83	1.3849E7	0E0	2.4474E5	0E0	8.8662E5	9.7335E6	9.6817E5	5.0653E4	2.8816E5	3.323E5	4.0773E5	6.0526E5	3.317E5	0E0				11513
MGYG000000489_01428	MGYG000000489_01428	8	1	2.83	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11514
MGYG000000142_02623	MGYG000000142_02623	3	1	2.83	1.2012E6	0E0	0E0	0E0	0E0	1.2012E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11515
MGYG000002492_02133	MGYG000002492_02133	3	3	2.83	1.6082E7	0E0	9.5944E5	1.6616E6	0E0	0E0	0E0	1.1558E5	5.1591E6	3.2714E6	6.7932E5	0E0	4.2355E6	0E0				11516
MGYG000003694_00466	MGYG000003694_00466	3	1	2.83	5.4043E7	0E0	2.9681E7	1.282E7	1.5169E6	0E0	0E0	1.0774E6	0E0	5.2236E6	3.7229E6	0E0	0E0	0E0				11517
