Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
MGYG000001338_02429	MGYG000001338_02429	92	9	14.47	5.1484E7	0E0	2.6499E6	8.1158E5	1.2877E6	3.8578E6	7.7836E6	1.3227E5	8.1558E6	2.4628E6	4.0361E6	1.0597E7	7.9562E6	1.7526E6				926
MGYG000000212_02086	MGYG000000212_02086	108	3	14.46	5.719E7	0E0	0E0	0E0	0E0	2.9706E7	1.2417E7	4.8197E5	2.8675E6	4.6699E6	4.338E6	2.7099E6	0E0	0E0				927
MGYG000004789_00402	MGYG000004789_00402	34	8	14.46	5.5608E6	0E0	1.2857E5	4.1992E5	3.0368E5	4.8911E5	3.0224E5	6.6704E4	7.5845E5	7.9102E5	4.2343E5	9.0354E5	7.6788E5	2.0627E5				928
MGYG000000258_01586	MGYG000000258_01586	17	7	14.46	5.5013E7	8.4117E5	2.0937E6	5.876E6	1.2801E6	5.5816E6	1.4932E6	8.2876E5	7.7353E6	5.7647E6	1.5811E6	1.2543E6	7.5328E6	1.315E7				929
MGYG000002968_01355	MGYG000002968_01355	17	3	14.46	4.1886E6	0E0	0E0	9.2058E4	0E0	1.0795E6	0E0	2.8995E5	6.5151E5	4.3361E5	0E0	4.7054E5	1.1715E6	0E0				930
MGYG000000142_01983	MGYG000000142_01983	14	5	14.45	1.6227E7	5.9874E5	1.2206E5	1.5326E5	6.7935E5	1.9128E6	1.8438E6	3.2194E5	1.2927E6	1.2203E6	5.21E5	7.4043E5	2.289E6	4.5314E6				931
MGYG000000250_00463	MGYG000000250_00463	38	5	14.45	1.423E7	0E0	0E0	1.1535E6	1.2317E6	2.5054E6	0E0	1.26E6	2.4354E6	0E0	7.0123E5	1.3954E6	1.6503E6	1.8967E6				932
MGYG000000251_01949	MGYG000000251_01949	39	4	14.44	1.5655E7	0E0	4.3428E5	6.0922E5	0E0	2.3906E6	1.3742E6	1.7085E5	2.8356E6	1.4712E6	4.6086E5	1.8236E6	2.5938E6	1.4906E6				933
sp|Q9HC84|MUC5B_HUMAN	sp|Q9HC84|MUC5B_HUMAN	18	17	14.44	8.6641E7	2.8558E6	1.3895E6	1.1486E7	7.1145E3	2.6647E6	1.1224E6	2.2593E5	1.0054E7	8.7157E6	2.8719E6	4.2123E6	1.4534E7	2.6502E7				934
MGYG000001007_01231	MGYG000001007_01231	38	1	14.44	4.301E7	0E0	0E0	0E0	0E0	0E0	0E0	0E0	3.3947E7	9.0624E6	0E0	0E0	0E0	0E0				935
MGYG000000002_02118	MGYG000000002_02118	40	5	14.44	6.9239E5	0E0	0E0	2.3702E4	1.1014E4	2.0586E5	0E0	4.317E4	1.0481E5	3.1825E4	9.2951E4	8.7201E4	3.6552E4	5.5313E4				936
MGYG000000252_01718	MGYG000000252_01718	62	1	14.43	7.759E5	4.8632E4	0E0	0E0	0E0	2.2271E5	0E0	2.9409E4	0E0	1.4757E5	0E0	3.2758E5	0E0	0E0				937
MGYG000000002_00324	MGYG000000002_00324	19	13	14.43	1.6871E7	1.5203E5	3.9351E5	5.7773E4	1.2821E5	2.249E6	5.3441E5	1.1246E6	2.0705E6	2.0632E6	7.4455E5	1.4363E6	5.2013E6	7.1567E5				938
MGYG000000038_00429	MGYG000000038_00429	8	3	14.42	6.5067E6	0E0	0E0	1.2393E5	0E0	8.6698E5	2.9339E5	0E0	1.0174E6	6.1815E5	1.1455E5	1.6561E5	8.9777E5	2.409E6				939
MGYG000000038_01590	MGYG000000038_01590	24	6	14.42	8.2604E5	1.583E3	8.9713E4	4.8128E3	0E0	0E0	8.1445E4	7.8304E3	1.3012E5	8.1122E4	4.3077E4	2.9122E4	1.6291E5	1.943E5				940
MGYG000002492_01515	MGYG000002492_01515	8	7	14.41	3.6446E7	0E0	2.6709E6	2.4179E5	3.2045E5	1.2197E7	1.616E6	2.2137E5	2.9544E6	2.2388E6	6.9383E5	9.9381E5	2.6742E6	9.6238E6				941
MGYG000000002_01404	MGYG000000002_01404	59	3	14.4	1.3712E6	0E0	0E0	1.0862E4	4.8253E3	2.0993E5	6.2456E5	8.3678E3	1.0654E5	9.2116E4	3.3732E4	7.03E4	2.1002E5	0E0				942
MGYG000004345_01550	MGYG000004345_01550	16	7	14.4	7.2005E7	0E0	5.2945E6	3.5003E5	2.729E5	5.4816E6	6.3303E6	3.5863E5	1.1108E7	7.5475E6	2.4819E6	2.6664E6	1.3215E7	1.6898E7				943
sp|Q08380|LG3BP_HUMAN	sp|Q08380|LG3BP_HUMAN	30	27	14.4	9.5835E6	3.8672E4	1.2375E6	5.0712E4	2.0073E4	6.2343E5	8.1983E5	5.8171E4	1.3378E6	1.3175E6	3.9658E5	7.6317E5	1.892E6	1.028E6				944
MGYG000000200_01498	MGYG000000200_01498	63	2	14.39	2.5216E7	0E0	0E0	0E0	0E0	2.0614E7	0E0	0E0	0E0	4.0157E6	0E0	5.8649E5	0E0	0E0				945
sp|P01619|KV320_HUMAN	sp|P01619|KV320_HUMAN	13	5	14.39	5.848E7	0E0	3.1189E6	4.1974E6	2.6375E5	3.1439E6	1.4967E6	7.2342E5	8.5025E6	7.9967E6	1.8796E6	3.4681E6	1.4953E7	8.736E6				946
MGYG000000201_01800	MGYG000000201_01800	47	4	14.38	1.0491E7	1.0541E5	6.5531E5	4.2196E5	1.795E6	1.7629E6	0E0	1.5079E5	1.2458E6	1.0882E6	3.3845E5	7.6833E5	1.881E6	2.775E5				947
MGYG000000038_00469	MGYG000000038_00469	49	9	14.37	2.4112E7	0E0	4.5529E6	0E0	7.8046E5	3.766E6	2.4811E6	4.3443E5	3.2647E6	2.4909E6	3.2065E5	1.7699E6	2.8253E6	1.4253E6				948
MGYG000000039_00227	MGYG000000039_00227	37	14	14.37	4.3472E5	3.704E2	4.7418E4	1.1343E4	1.79E4	1.3161E4	2.2499E4	7.5417E3	6.5066E4	5.4107E4	1.6571E4	1.6264E4	8.4278E4	7.8197E4				949
MGYG000000251_02504	MGYG000000251_02504	35	14	14.37	4.1379E8	0E0	2.4215E7	1.1068E7	2.0324E7	2.4215E7	2.4215E7	2.344E6	2.7222E7	3.4251E7	1.9017E7	6.5643E7	1.6128E8	0E0				950
MGYG000002736_01630	MGYG000002736_01630	27	1	14.36	3.1466E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	2.1974E5	8.6143E4	9.6042E4	3.9888E5	1.253E6	1.0928E6				951
MGYG000000196_00133	MGYG000000196_00133	15	8	14.36	5.731E6	0E0	0E0	2.9835E4	2.42E4	8.8063E5	2.2061E6	1.3523E4	8.4962E5	7.7537E5	2.5856E5	5.8144E4	3.3871E5	2.9628E5				952
MGYG000000201_03874	MGYG000000201_03874	70	4	14.36	8.2033E6	3.6273E5	0E0	4.5219E5	1.0238E6	2.9046E6	6.6203E5	1.3334E5	3.8133E5	9.0546E5	2.0311E5	4.0168E5	0E0	7.7301E5				953
MGYG000001338_02792	MGYG000001338_02792	29	6	14.36	4.4021E7	2.0039E5	1.2305E5	0E0	5.6772E5	3.1207E7	1.0622E6	4.2894E4	2.0353E6	2.0523E6	5.8185E5	1.0717E6	2.885E6	2.1921E6				954
MGYG000000039_02453	MGYG000000039_02453	41	3	14.35	1.0261E7	0E0	6.8195E4	0E0	1.1276E5	1.05E6	9.9063E5	1.5191E5	1.308E6	1.0128E6	5.0101E5	8.1218E5	2.0827E6	2.1706E6				955
MGYG000001869_01448	MGYG000001869_01448	20	2	14.35	4.0397E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	4.0397E6				956
MGYG000000002_02227	MGYG000000002_02227	39	3	14.34	5.6818E6	0E0	0E0	8.0681E4	7.5335E4	1.4178E6	0E0	1.0711E4	4.3771E5	6.8173E5	1.2505E5	5.4195E5	8.2049E5	1.4904E6				957
MGYG000000062_01373	MGYG000000062_01373	9	5	14.34	5.9804E6	0E0	5.8122E5	1.9657E5	2.3514E5	0E0	0E0	9.138E4	1.3713E6	0E0	0E0	0E0	1.0768E6	2.428E6				958
MGYG000002902_00158	MGYG000002902_00158	11	1	14.33	9.7483E5	0E0	0E0	0E0	0E0	0E0	1.3195E5	0E0	0E0	8.4288E5	0E0	0E0	0E0	0E0				959
MGYG000000251_01325	MGYG000000251_01325	49	13	14.32	2.2448E6	3.2637E4	8.8435E3	5.3702E4	3.238E4	7.0277E5	2.4259E5	5.5686E4	2.5893E5	2.1933E5	8.3602E4	2.2343E5	2.693E5	6.1581E4				960
MGYG000000262_00844	MGYG000000262_00844	9	9	14.31	2.7098E6	1.8217E4	7.3233E3	1.1933E4	6.7659E4	1.3953E5	2.8877E5	1.6928E4	4.9916E5	3.2288E5	5.5237E4	9.7248E4	4.8927E5	6.9563E5				961
MGYG000002492_02075	MGYG000002492_02075	60	12	14.31	1.0721E8	2.925E7	6.9077E6	1.7933E6	2.7635E6	7.7622E6	1.2538E7	3.7734E6	7.6955E6	6.6693E6	2.4532E6	5.1176E6	1.5134E7	5.3558E6				962
MGYG000002492_02720	MGYG000002492_02720	19	3	14.31	1.7317E7	1.0496E5	7.1718E6	5.3789E4	4.6489E5	1.7026E6	7.4116E5	1.2712E5	1.3841E6	1.3377E6	7.1989E5	3.5117E5	9.8596E5	2.1714E6				963
MGYG000002492_01434	MGYG000002492_01434	30	16	14.31	6.5607E5	1.5747E3	3.6388E4	2.4519E4	6.001E4	2.7854E4	4.486E4	3.3653E3	9.898E4	8.6E4	5.3814E4	2.7702E4	9.8977E4	9.2031E4				964
MGYG000000169_01124	MGYG000000169_01124	65	2	14.31	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				965
MGYG000000031_00248	MGYG000000031_00248	17	1	14.31	1.01E7	0E0	2.5002E5	1.0359E5	9.0578E5	9.0665E4	1.7656E6	4.1428E4	1.432E6	2.3604E6	1.1143E6	6.0591E5	1.4305E6	0E0				966
sp|P01780|HV307_HUMAN	sp|P01780|HV307_HUMAN	14	3	14.3	5.3371E6	6.7106E4	5.0789E5	1.1016E6	3.5544E5	2.5742E5	2.3989E5	1.8682E5	6.4202E5	6.9416E5	2.4476E5	2.3704E5	3.9132E5	4.1162E5				967
MGYG000000251_02521	MGYG000000251_02521	19	9	14.3	1.3252E7	1.3819E5	6.5223E4	2.945E5	1.7695E5	2.1922E6	1.3592E6	1.0819E5	2.2899E6	1.5269E6	7.8233E5	1.4406E6	2.4086E6	4.689E5				968
MGYG000000193_03245	MGYG000000193_03245	34	10	14.3	1.6134E7	7.2935E5	4.1748E5	3.751E5	3.9333E5	4.7069E6	0E0	3.4291E5	1.6219E6	1.3435E6	5.167E5	8.369E5	2.874E6	1.9756E6				969
MGYG000000201_03873	MGYG000000201_03873	24	1	14.3	3.1021E6	0E0	0E0	0E0	2.7363E5	0E0	0E0	2.7954E4	6.5806E5	8.6316E5	0E0	0E0	6.7183E5	6.0745E5				970
MGYG000000142_01875	MGYG000000142_01875	14	11	14.3	3.9605E6	2.7789E4	3.0393E5	1.9432E5	6.2772E4	1.2023E6	3.0942E5	3.6127E4	3.7797E5	3.1096E5	5.7215E4	6.8546E4	3.0997E5	6.992E5				971
MGYG000000031_02823	MGYG000000031_02823	27	7	14.29	5.3098E7	2.211E6	8.2551E6	3.0353E5	2.3079E5	1.2312E7	8.5938E6	6.9692E5	3.9299E6	3.0953E6	1.4326E6	1.1595E6	4.867E6	6.0103E6				972
MGYG000000142_02037	MGYG000000142_02037	38	1	14.28	3.2897E6	6.3816E4	0E0	3.2045E4	0E0	9.6213E5	3.8244E5	0E0	0E0	1.7195E5	9.7186E4	0E0	8.9994E5	6.802E5				973
MGYG000000258_00265	MGYG000000258_00265	60	26	14.28	3.2539E7	1.2542E6	2.5068E6	5.0932E5	8.7421E5	2.7242E6	1.72E6	4.9429E5	4.5333E6	3.9613E6	2.337E6	2.4416E6	5.6336E6	3.5489E6				974
MGYG000000002_00316	MGYG000000002_00316	18	4	14.28	2.5457E7	0E0	0E0	3.1219E5	5.4618E5	1.8984E6	5.4904E6	2.524E5	2.4195E6	2.1571E6	9.4824E5	3.2622E6	7.7636E6	4.0637E5				975
MGYG000004733_00373	MGYG000004733_00373	51	3	14.27	2.2491E7	0E0	0E0	1.0081E6	0E0	0E0	0E0	1.9031E5	7.6346E6	2.3978E6	7.8809E5	3.6837E6	5.973E6	8.149E5				976
MGYG000000204_00532	MGYG000000204_00532	20	1	14.27	9.679E4	0E0	0E0	0E0	0E0	0E0	0E0	2.5121E3	0E0	8.6394E4	7.884E3	0E0	0E0	0E0				977
MGYG000000142_02504	MGYG000000142_02504	98	1	14.27	1.2591E7	0E0	2.7944E5	9.9525E5	1.725E5	3.499E6	5.3234E6	1.3571E5	7.7693E5	0E0	7.8494E5	6.2422E5	0E0	0E0				978
MGYG000000263_00902	MGYG000000263_00902	34	9	14.26	4.014E6	5.8204E4	2.426E3	0E0	5.1757E4	1.1995E6	7.2989E5	2.2001E4	4.142E5	3.6222E5	1.7815E5	1.0856E5	4.8715E5	3.999E5				979
MGYG000000140_00629	MGYG000000140_00629	37	6	14.25	5.5211E7	0E0	7.0459E6	2.2345E6	3.1934E6	4.9613E6	6.1526E6	3.5327E5	7.8506E6	5.6412E6	1.4117E6	3.6374E6	9.6952E6	3.034E6				980
MGYG000004774_01437	MGYG000004774_01437	42	1	14.25	9.4115E6	0E0	0E0	0E0	1.0861E6	8.5134E5	0E0	1.9569E5	3.0617E6	1.3459E6	7.667E5	6.8031E5	1.4239E6	0E0				981
MGYG000000212_00765	MGYG000000212_00765	26	1	14.25	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				982
MGYG000002528_01876	MGYG000002528_01876	41	1	14.25	1.1243E6	0E0	0E0	0E0	4.7281E4	0E0	0E0	3.508E4	5.3586E5	5.061E5	0E0	0E0	0E0	0E0				983
MGYG000000258_00558	MGYG000000258_00558	52	19	14.24	2.7183E6	1.6073E4	1.4711E5	3.5074E4	3.1488E4	5.7989E5	2.1768E5	6.5069E4	4.2491E5	2.9386E5	2.3252E5	2.3099E5	3.6782E5	7.5796E4				984
MGYG000000263_03028	MGYG000000263_03028	51	1	14.24	1.7724E7	0E0	0E0	0E0	0E0	2.8529E6	7.5398E6	0E0	9.6833E5	5.905E5	4.3885E5	4.4145E6	9.1864E5	0E0				985
MGYG000000002_00082	MGYG000000002_00082	47	5	14.24	2.4161E7	0E0	6.7574E5	7.8811E5	5.3323E5	2.339E6	4.609E6	1.6845E5	4.5833E6	0E0	9.4569E5	8.6982E5	0E0	8.6491E6				986
MGYG000000039_02460	MGYG000000039_02460	29	6	14.23	3.9689E7	7.9373E6	3.0205E6	4.2266E5	2.2111E5	7.3027E6	6.3372E6	2.695E5	2.7307E6	1.3617E6	1.0253E6	9.3692E5	5.3419E6	2.7816E6				987
MGYG000000459_00885	MGYG000000459_00885	31	2	14.23	4.4957E6	0E0	0E0	0E0	0E0	1.3015E5	2.6379E6	1.298E5	3.9558E5	1.2023E6	0E0	0E0	0E0	0E0				988
MGYG000003695_01267	MGYG000003695_01267	55	1	14.23	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				989
MGYG000004345_01560	MGYG000004345_01560	13	9	14.22	8.8201E5	1.1229E4	2.1178E5	8.3156E3	3.1279E4	3.2702E4	4.1647E4	1.2423E4	1.0684E5	9.3095E4	3.5814E4	3.9111E4	1.3417E5	1.236E5				990
MGYG000000142_02050	MGYG000000142_02050	45	4	14.22	7.5695E7	0E0	3.0965E7	0E0	1.7131E6	3.7076E6	1.1289E7	1.0773E6	4.4028E6	4.3724E6	2.7585E6	2.339E6	6.2773E6	6.7935E6				991
MGYG000000062_02395	MGYG000000062_02395	34	27	14.22	5.9864E7	9.7852E5	1.0197E6	6.4862E5	7.674E5	6.7489E6	2.5376E6	3.7219E5	1.0034E7	8.913E6	3.0308E6	7.0486E6	1.1361E7	6.4038E6				992
sp|P06748|NPM_HUMAN	sp|P06748|NPM_HUMAN	15	15	14.22	6.6856E7	2.3909E6	4.1572E5	2.1813E6	1.3529E6	7.3478E6	3.6829E6	6.7228E5	8.6814E6	9.9212E6	1.2341E6	1.632E6	8.4222E6	1.8921E7				993
MGYG000002528_00945	MGYG000002528_00945	25	4	14.22	2.3622E5	0E0	9.005E1	0E0	0E0	2.4587E4	4.7179E3	2.2941E3	4.4368E4	2.2175E4	2.7311E4	3.0952E4	7.3229E4	6.4953E3				994
MGYG000004797_02581	MGYG000004797_02581	22	18	14.22	1.1175E8	3.2576E6	9.0806E5	5.1543E5	2.526E5	6.6383E6	9.748E6	7.1891E5	1.5816E7	1.673E7	6.1601E6	5.3206E6	2.7489E7	1.8196E7				995
MGYG000000184_03159	MGYG000000184_03159	42	3	14.21	1.6039E7	0E0	0E0	3.7057E5	2.1033E5	4.7504E6	9.8544E5	6.5156E4	2.2388E6	1.8375E6	1.0218E6	1.2828E6	3.0804E6	1.9621E5				996
MGYG000000263_00803	MGYG000000263_00803	8	3	14.18	1.9136E7	0E0	6.3569E5	0E0	0E0	5.967E6	0E0	1.1649E5	2.4481E6	3.3993E6	0E0	0E0	3.3774E6	3.1925E6				997
MGYG000000039_01697	MGYG000000039_01697	21	2	14.18	3.5166E6	5.6986E4	0E0	1.1191E5	1.0804E5	0E0	0E0	2.6313E4	7.1709E5	0E0	1.081E5	0E0	7.5192E5	1.6363E6				998
MGYG000000140_01408	MGYG000000140_01408	11	11	14.18	1.0207E7	1.2575E5	8.3373E5	4.5158E5	1.3127E5	8.9519E5	1.8347E6	1.4324E5	1.0815E6	9.7851E5	4.5482E5	5.4267E5	1.3931E6	1.3412E6				999
MGYG000002528_00943	MGYG000002528_00943	21	15	14.17	1.0673E8	0E0	1.2273E7	3.1365E6	4.594E6	1.0978E7	1.811E7	8.0764E5	9.6752E6	9.7733E6	3.0348E6	7.8695E6	2.276E7	3.7201E6				1000
MGYG000001338_00979	MGYG000001338_00979	18	17	14.17	6.9834E6	1.7098E5	3.5141E5	5.9956E4	7.0697E4	1.4839E6	4.3891E5	2.3945E4	7.1297E5	6.9193E5	1.6251E5	6.6727E5	1.4012E6	7.4774E5				1001
MGYG000000201_00874	MGYG000000201_00874	29	2	14.17	1.0518E6	0E0	0E0	5.8136E3	5.4627E4	0E0	0E0	0E0	2.5912E5	1.3064E5	0E0	0E0	6.0159E5	0E0				1002
MGYG000002290_01326	MGYG000002290_01326	49	1	14.17	1.36E7	8.4876E5	6.8522E5	2.5913E5	0E0	5.4582E6	0E0	3.4063E5	1.4663E6	9.8573E5	3.0872E5	9.2251E5	1.3437E6	9.8094E5				1003
MGYG000000251_00670	MGYG000000251_00670	48	5	14.16	4.3981E7	0E0	1.3358E7	1.0602E6	4.8193E5	1.0645E7	3.9382E6	8.0637E5	1.8553E6	4.0217E6	0E0	2.7157E6	3.0901E6	2.0088E6				1004
MGYG000002482_00101	MGYG000002482_00101	19	2	14.15	6.3963E6	5.0062E4	3.07E4	0E0	1.2748E5	7.4782E5	4.2553E5	2.1156E5	8.9372E5	6.957E5	3.4739E5	3.3813E5	1.7365E6	7.917E5				1005
MGYG000002493_00663	MGYG000002493_00663	60	4	14.15	1.0088E7	0E0	6.6731E4	2.6391E5	1.7336E4	2.9773E6	6.5823E5	3.7471E4	1.7457E6	9.5267E4	1.166E5	6.1126E5	3.0775E6	4.2059E5				1006
MGYG000000447_01221	MGYG000000447_01221	7	1	14.14	2.4034E7	0E0	1.7756E5	0E0	5.78E4	1.9751E7	0E0	4.8532E4	0E0	0E0	0E0	0E0	3.3501E6	6.49E5				1007
MGYG000000216_02058	MGYG000000216_02058	57	3	14.14	9.9543E7	6.7504E6	7.6491E5	1.0279E6	7.6093E5	9.197E6	7.8237E6	6.8065E5	1.0169E7	6.7504E6	5.6946E6	4.9591E6	3.4827E7	1.0137E7				1008
MGYG000004345_00702	MGYG000004345_00702	25	22	14.14	9.2323E6	4.2719E4	8.142E5	1.5725E5	1.2581E5	4.1026E5	9.3581E5	6.7011E4	1.5484E6	1.2277E6	2.708E5	3.7607E5	2.1405E6	1.1157E6				1009
MGYG000003937_00256	MGYG000003937_00256	17	10	14.13	4.1003E5	7.855E2	1.5555E2	5.1713E1	2.3445E2	2.9517E4	5.9181E4	6.393E3	3.4337E4	3.2025E4	1.0089E4	2.6945E4	7.0467E4	1.3985E5				1010
MGYG000003166_01333	MGYG000003166_01333	26	3	14.13	4.796E6	0E0	1.8727E5	4.5109E5	2.3796E5	4.7931E5	0E0	1.7645E5	6.7293E5	7.098E5	3.0192E5	3.6596E5	5.8495E5	6.2831E5				1011
MGYG000003937_00618	MGYG000003937_00618	25	23	14.13	9.9887E7	5.283E6	9.4695E6	3.4375E6	2.2783E6	6.7638E6	1.2113E7	7.2072E5	1.2748E7	8.6133E6	3.1554E6	3.363E6	2.2686E7	9.2555E6				1012
MGYG000000250_00348	MGYG000000250_00348	27	1	14.13	5.5383E6	0E0	5.1505E6	0E0	3.8778E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				1013
MGYG000004345_01121	MGYG000004345_01121	23	8	14.13	3.8486E7	6.0619E5	3.7166E5	4.3875E5	4.4387E6	3.1437E6	1.4303E6	2.2822E5	6.6325E6	5.5907E6	2.262E6	3.7583E6	8.7886E6	7.9616E5				1014
MGYG000001292_02335	MGYG000001292_02335	9	9	14.12	2.518E7	0E0	3.1603E5	4.1754E5	5.9809E5	7.2748E6	1.2255E6	5.7531E4	3.0618E6	2.7259E6	9.9743E5	7.8744E5	4.5797E6	3.1383E6				1015
MGYG000001338_01288	MGYG000001338_01288	46	8	14.12	1.1229E7	0E0	0E0	2.3474E5	1.0578E5	6.0772E6	7.9171E5	6.2045E4	9.1558E5	7.6407E5	1.4317E5	4.6679E5	1.2197E6	4.4828E5				1016
MGYG000000062_00414	MGYG000000062_00414	35	25	14.11	1.4879E7	4.623E5	1.9739E5	5.5224E5	2.6898E5	6.4012E5	8.4774E5	2.7973E5	2.6892E6	2.1596E6	1.0481E6	2.7834E6	2.4796E6	4.7018E5				1017
MGYG000001637_00026	MGYG000001637_00026	14	7	14.11	3.4201E6	1.0325E4	6.5055E4	1.2249E5	3.1534E5	1.3591E5	6.8145E4	6.7864E4	5.9129E5	5.3267E5	2.9857E5	1.493E5	3.8294E5	6.8022E5				1018
MGYG000000249_02372	MGYG000000249_02372	20	2	14.1	9.6854E6	0E0	2.1484E6	3.8862E6	0E0	0E0	0E0	1.1378E5	1.1786E6	0E0	5.9457E5	1.7639E6	0E0	0E0				1019
MGYG000000031_01835	MGYG000000031_01835	14	6	14.1	6.1852E6	3.2854E5	3.1629E5	1.0514E5	6.9427E4	9.6471E5	1.1574E6	4.9584E4	6.252E5	5.248E5	5.1899E5	3.7469E5	5.7869E5	5.7177E5				1020
MGYG000000002_01361	MGYG000000002_01361	74	4	14.1	2.124E6	0E0	0E0	2.7083E4	2.1547E4	6.3755E5	0E0	1.9777E4	2.9127E5	3.1129E5	1.4552E5	5.273E5	1.4268E5	0E0				1021
MGYG000003166_01337	MGYG000003166_01337	18	1	14.1	1.3238E7	0E0	0E0	0E0	0E0	3.9435E6	0E0	1.5554E5	0E0	2.1598E6	3.3798E5	6.2531E5	3.711E6	2.3044E6				1022
MGYG000001338_00362	MGYG000001338_00362	21	17	14.1	1.4401E6	8.3298E3	5.6812E4	3.4253E4	1.4203E4	3.846E5	1.0723E5	7.9563E3	1.8493E5	1.7839E5	4.9915E4	1.6816E5	1.7553E5	6.9766E4				1023
MGYG000000142_00573	MGYG000000142_00573	63	2	14.09	1.1531E8	0E0	0E0	0E0	0E0	4.5725E7	2.5931E6	2.0182E6	1.7821E7	1.0508E7	1.0418E6	1.1085E7	1.8525E7	5.9899E6				1024
MGYG000000062_02187	MGYG000000062_02187	14	14	14.09	1.5475E8	0E0	1.6534E7	3.4648E6	9.8738E5	1.3829E7	5.8961E6	3.2983E6	2.7739E7	1.9622E7	8.1279E6	9.6769E6	3.515E7	1.042E7				1025
MGYG000000263_02246	MGYG000000263_02246	18	3	14.09	9.1009E6	0E0	2.3608E5	2.486E4	1.16E6	8.7391E5	2.75E5	0E0	9.3396E5	1.2326E6	3.8017E5	9.3124E5	2.1641E6	8.8885E5				1026
MGYG000003694_01219	MGYG000003694_01219	35	28	14.09	2.5111E7	2.0617E6	2.5914E6	2.768E6	5.003E5	2.1158E6	1.5626E6	2.6793E5	2.1101E6	2.1032E6	9.4625E5	1.4534E6	4.4894E6	2.1414E6				1027
MGYG000000262_01525	MGYG000000262_01525	15	14	14.09	3.132E7	8.6681E4	3.1797E5	5.3398E5	2.847E5	1.0158E7	2.0125E6	1.6231E5	3.2175E6	2.5381E6	9.7173E5	2.7994E6	7.4044E6	8.328E5				1028
MGYG000000250_03073	MGYG000000250_03073	30	5	14.07	8.7724E7	0E0	3.7829E7	2.5165E6	1.7709E6	0E0	6.2118E6	1.2536E6	9.9388E6	1.7661E7	0E0	6.2118E6	4.3297E6	0E0				1029
MGYG000000031_01012	MGYG000000031_01012	20	2	14.07	7.3919E6	0E0	4.0105E5	2.5827E5	0E0	5.9364E5	4.6183E5	9.4834E4	1.0073E6	1.1497E6	0E0	0E0	2.0466E6	1.3787E6				1030
MGYG000002298_01871	MGYG000002298_01871	26	1	14.07	4.8849E6	0E0	2.4874E6	9.4779E5	0E0	1.4497E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				1031
MGYG000000038_00953	MGYG000000038_00953	39	4	14.06	1.0027E7	2.694E5	4.5675E4	6.4554E5	1.2142E4	5.9365E5	9.1017E5	8.1823E4	1.5924E6	1.1308E6	5.1189E5	5.3678E5	2.7891E6	9.0744E5				1032
MGYG000003937_01186	MGYG000003937_01186	12	8	14.06	3.545E6	2.0333E4	1.5706E4	1.2831E4	9.3898E3	3.5867E5	4.1357E5	3.866E4	5.8898E5	5.2836E5	1.8466E5	2.578E5	6.3148E5	4.8458E5				1033
MGYG000000038_02212	MGYG000000038_02212	11	6	14.06	1.1792E7	0E0	9.4949E5	2.4687E5	6.0306E4	9.3462E5	1.1326E6	5.3018E4	1.7E6	1.4727E6	4.4942E5	9.1833E5	1.0556E6	2.8193E6				1034
MGYG000002040_01714	MGYG000002040_01714	22	1	14.05	4.5907E6	0E0	0E0	0E0	0E0	7.6086E5	0E0	2.8515E5	0E0	1.3616E6	0E0	0E0	2.1831E6	0E0				1035
MGYG000001521_00252	MGYG000001521_00252	11	1	14.05	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				1036
MGYG000000031_00567	MGYG000000031_00567	53	4	14.04	7.4607E6	0E0	5.2206E5	1.9699E5	3.9672E4	1.4243E6	2.26E6	1.1733E5	6.7892E5	7.0363E5	3.3199E5	9.6543E5	2.2042E5	0E0				1037
MGYG000002492_00392	MGYG000002492_00392	21	7	14.04	9.2167E7	0E0	1.2182E7	1.106E6	1.2765E6	2.3057E6	6.2948E6	1.2214E7	1.3897E7	9.8925E6	3.7045E6	2.8306E6	9.604E6	1.6859E7				1038
MGYG000001338_00426	MGYG000001338_00426	39	3	14.04	2.5824E7	5.1271E6	1.053E6	3.0825E6	0E0	0E0	2.5023E6	2.2484E5	2.9776E6	2.0412E6	3.2164E5	1.0243E6	6.8895E6	5.7994E5				1039
